S/N,Normal,OT,Present,Meal Deduction,Night Meal,Paid Leave,NORMAL RATE ,OT RATE,Night Meal Rate,Paid Leave Rate,SOC COST,TOTAL EARNINGS AND MEAL,SERVICE CHARGE,VAT 7.5%,TOTAL INVOICE,Meal Deduction_1
941,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
942,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
943,144.58,53.4,18,16,18,,27108.75,10638.348,5850,0,3500,47097.098,4003.25333,300.2439998,51400.59533,800
944,143,51.82,18,20,18,,26812.5,10323.5804,5850,0,3500,46486.0804,3951.316834,296.3487626,50733.746,1000
945,130.95,66,18,18,18,,24553.125,13148.52,5850,0,3500,47051.645,3999.389825,299.9542369,51350.98906,900
946,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
947,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
948,149.8,64.42,20,16,12,,28087.5,12833.7524,3900,0,3500,48321.2524,4107.306454,308.0479841,52736.60684,800
949,144.58,53.4,18,16,18,,27108.75,10638.348,5850,0,3500,47097.098,4003.25333,300.2439998,51400.59533,800
950,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
951,143,55,18,20,20,,26812.5,10957.1,6500,0,3500,47769.6,4060.416,304.5312,52134.5472,1000
952,121.75,32.25,15,20,16,,22828.125,6424.845,5200,0,3500,37952.97,3226.00245,241.9501838,41420.92263,1000
953,141.83,55,18,14,18,,26593.125,10957.1,5850,0,3500,46900.225,3986.519125,298.9889344,51185.73306,700
954,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
955,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
956,104.75,31.83,13,16,12,,19640.625,6341.1726,3900,0,3500,33381.7976,2837.452796,212.8089597,36432.05936,800
957,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
958,55,44,9,16,6,,10312.5,8765.68,1950,0,3500,24528.18,2084.8953,156.3671475,26769.44245,800
959,142.87,22.37,21,22,0,,26788.125,4456.5514,0,0,3500,34744.6764,2953.297494,221.4973121,37919.47121,1100
960,143,42.83,17,20,18,,26812.5,8532.5926,5850,0,3500,44695.0926,3799.082871,284.9312153,48779.10669,1000
961,142.8,55,18,16,18,,26775,10957.1,5850,0,3500,47082.1,4001.9785,300.1483875,51384.22689,800
962,132,33,15,16,16,,24750,6574.26,5200,0,3500,40024.26,3402.0621,255.1546575,43681.47676,800
963,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
964,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
965,130.7,33,15,18,18,,24506.25,6574.26,5850,0,3500,40430.51,3436.59335,257.7445013,44124.84785,900
966,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
967,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
968,121,55,16,18,16,,22687.5,10957.1,5200,0,3500,42344.6,3599.291,269.946825,46213.83783,900
969,132,55,17,20,16,80,24750,10957.1,5200,15000,3500,59407.1,5049.6035,378.7202625,64835.42376,1000
970,78,44,12,8,10,80,14625,8765.68,3250,15000,3500,45140.68,3836.9578,287.771835,49265.40964,400
971,160,,6,14,0,,30000,0,0,0,3500,33500,2847.5,213.5625,36561.0625,700
972,129.97,55,18,18,18,,24369.375,10957.1,5850,0,3500,44676.475,3797.500375,284.8125281,48758.7879,900
973,142.75,55,18,16,18,,26765.625,10957.1,5850,0,3500,47072.725,4001.181625,300.0886219,51373.99525,800
974,66,33,9,16,8,80,12375,6574.26,2600,15000,3500,40049.26,3404.1871,255.3140325,43708.76113,800
975,143,33,16,20,16,,26812.5,6574.26,5200,0,3500,42086.76,3577.3746,268.303095,45932.4377,1000
976,144.42,53.47,19,16,18,,27078.75,10652.2934,5850,0,3500,47081.0434,4001.888689,300.1416517,51383.07374,800
977,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
978,130.35,55,17,14,18,,24440.625,10957.1,5850,0,3500,44747.725,3803.556625,285.2667469,48836.54837,700
979,121,50.78,17,20,14,,22687.5,10116.3916,4550,0,3500,40853.8916,3472.580786,260.443559,44586.91594,1000
980,160,78.98,23,48,0,,30000,15734.3956,0,0,3500,49234.3956,4184.923626,313.869272,53733.1885,2400
981,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
982,132,44,16,20,14,,24750,8765.68,4550,0,3500,41565.68,3533.0828,264.98121,45363.74401,1000
983,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
984,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
985,132,66,18,20,18,,24750,13148.52,5850,0,3500,47248.52,4016.1242,301.209315,51565.85352,1000
986,400,0,16,17,8,,75000,0,2600,0,3500,81100,6893.5,517.0125,88510.5125,850
987,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
988,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
989,49.3,55,17,18,16,,9243.75,10957.1,5200,0,3500,28900.85,2456.57225,184.2429188,31541.66517,900
990,143,44,17,14,16,,26812.5,8765.68,5200,0,3500,44278.18,3763.6453,282.2733975,48324.0987,700
991,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
992,143,44,17,18,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,900
993,144.22,53.73,18,16,18,,27041.25,10704.0906,5850,0,3500,47095.3406,4003.103951,300.2327963,51398.67735,800
994,132,66,18,20,18,,24750,13148.52,5850,0,3500,47248.52,4016.1242,301.209315,51565.85352,1000
995,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
996,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
997,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
998,130.9,55,18,16,16,,24543.75,10957.1,5200,0,3500,44200.85,3757.07225,281.7804188,48239.70267,800
999,133.68,52.28,18,20,20,,25065,10415.2216,6500,0,3500,45480.2216,3865.818836,289.9364127,49635.97685,1000
1000,143,55,19,18,20,,26812.5,10957.1,6500,0,3500,47769.6,4060.416,304.5312,52134.5472,900
1001,120.93,53.77,16,14,18,,22674.375,10712.0594,5850,0,3500,42736.4344,3632.596924,272.4447693,46641.47609,700
1002,110,11,11,20,10,,20625,2191.42,3250,0,3500,29566.42,2513.1457,188.4859275,32268.05163,1000
1003,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
1004,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1005,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
1006,121.28,40.3,15,18,16,,22740,8028.566,5200,0,3500,39468.566,3354.82811,251.6121083,43075.00622,900
1007,143.92,41.73,17,18,16,,26985,8313.4506,5200,0,3500,43998.4506,3739.868301,280.4901226,48018.80902,900
1008,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1009,121,55,16,20,14,,22687.5,10957.1,4550,0,3500,41694.6,3544.041,265.803075,45504.44408,1000
1010,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1011,142.82,44,17,20,18,,26778.75,8765.68,5850,0,3500,44894.43,3816.02655,286.2019913,48996.65854,1000
1012,130.43,55,17,20,16,,24455.625,10957.1,5200,0,3500,44112.725,3749.581625,281.2186219,48143.52525,1000
1013,143,44,18,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1014,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1015,132,55,17,16,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,800
1016,144.5,53.47,19,16,18,,27093.75,10652.2934,5850,0,3500,47096.0434,4003.163689,300.2372767,51399.44437,800
1017,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1018,129.43,55,17,20,16,,24268.125,10957.1,5200,0,3500,43925.225,3733.644125,280.0233094,47938.89243,1000
1019,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1020,133.15,47.63,17,18,16,,24965.625,9488.8486,5200,0,3500,43154.4736,3668.130256,275.1097692,47097.71363,900
1021,121,55,16,20,14,,22687.5,10957.1,4550,0,3500,41694.6,3544.041,265.803075,45504.44408,1000
1022,143.97,43.03,17,20,18,,26994.375,8572.4366,5850,0,3500,44916.8116,3817.928986,286.344674,49021.08526,1000
1023,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1024,123,20.33,14,20,12,,23062.5,4050.1426,3900,0,3500,34512.6426,2933.574621,220.0180966,37666.23532,1000
1025,143,64.63,19,20,20,,26812.5,12875.5886,6500,0,3500,49688.0886,4223.487531,316.7615648,54228.3377,1000
1026,132,44,16,20,16,,24750,8765.68,5200,0,3500,42215.68,3588.3328,269.12496,46073.13776,1000
1027,141.88,44,17,20,18,,26602.5,8765.68,5850,0,3500,44718.18,3801.0453,285.0783975,48804.3037,1000
1028,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1029,143,50.88,19,20,20,,26812.5,10136.3136,6500,0,3500,46948.8136,3990.649156,299.2986867,51238.76144,1000
1030,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1031,143.87,53.95,18,16,18,,26975.625,10747.919,5850,0,3500,47073.544,4001.25124,300.093843,51374.88908,800
1032,143,55,18,0,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,0
1033,77,22,9,10,6,,14437.5,4382.84,1950,0,3500,24270.34,2062.9789,154.7234175,26488.04232,500
1034,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1035,99,55,15,14,16,,18562.5,10957.1,5200,0,3500,38219.6,3248.666,243.64995,41711.91595,700
1036,142.78,56,18,16,18,,26771.25,11156.32,5850,0,3500,47277.57,4018.59345,301.3945088,51597.55796,800
1037,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1038,143,42.05,17,20,18,,26812.5,8377.201,5850,0,3500,44539.701,3785.874585,283.9405939,48609.51618,1000
1039,144.6,53.37,18,16,18,,27112.5,10632.3714,5850,0,3500,47094.8714,4003.064069,300.2298052,51398.16527,800
1040,133,11,12,20,12,,24937.5,2191.42,3900,0,3500,34528.92,2934.9582,220.121865,37684.00007,1000
1041,154.93,31.97,17,16,16,,29049.375,6369.0634,5200,0,3500,44118.4384,3750.067264,281.2550448,48149.76071,800
1042,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
1043,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
1044,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1045,133.57,53.38,17,16,16,,25044.375,10634.3636,5200,0,3500,44378.7386,3772.192781,282.9144586,48433.84584,800
1046,132,44,17,18,16,,24750,8765.68,5200,0,3500,42215.68,3588.3328,269.12496,46073.13776,900
1047,121,44,15,18,14,,22687.5,8765.68,4550,0,3500,39503.18,3357.7703,251.8327725,43112.78307,900
1048,144.6,53.4,18,16,18,,27112.5,10638.348,5850,0,3500,47100.848,4003.57208,300.267906,51404.68799,800
1049,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1050,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1051,111.42,53.22,16,20,12,,20891.25,10602.4884,3900,0,3500,38893.7384,3305.967764,247.9475823,42447.65375,1000
1052,128.88,55,17,20,16,,24165,10957.1,5200,0,3500,43822.1,3724.8785,279.3658875,47826.34439,1000
1053,144.43,42.57,17,16,16,,27080.625,8480.7954,5200,0,3500,44261.4204,3762.220734,282.1665551,48305.80769,800
1054,153.15,31.75,17,20,16,,28715.625,6325.235,5200,0,3500,43740.86,3717.9731,278.8479825,47737.68108,1000
1055,132,53.57,17,20,16,,24750,10672.2154,5200,0,3500,44122.2154,3750.388309,281.2791232,48153.88283,1000
1056,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1057,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1058,143,55,18,16,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,800
1059,132,55,17,20,16,,24750,10957.1,5200,0,3500,44407.1,3774.6035,283.0952625,48464.79876,1000
1060,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1061,144,44,18,19,14,,27000,8765.68,4550,0,3500,43815.68,3724.3328,279.32496,47819.33776,950
1062,143,44,17,20,18,,26812.5,8765.68,5850,0,3500,44928.18,3818.8953,286.4171475,49033.49245,1000
1063,110,11,11,20,10,,20625,2191.42,3250,0,3500,29566.42,2513.1457,188.4859275,32268.05163,1000
1064,118.57,44,15,16,18,,22231.875,8765.68,5850,0,3500,40347.555,3429.542175,257.2156631,44034.31284,800
1065,121,55,16,18,16,,22687.5,10957.1,5200,0,3500,42344.6,3599.291,269.946825,46213.83783,900
1066,143,55,18,14,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,700
1067,121,55,16,20,14,,22687.5,10957.1,4550,,3500,41694.6,3544.041,265.803075,45504.44408,1000
1068,143,55,19,18,18,,26812.5,10957.1,5850,0,3500,47119.6,4005.166,300.38745,51425.15345,900
1069,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1070,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1071,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1072,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1073,153.48,0,12,20,14,,28777.5,0,4550,0,3500,36827.5,3130.3375,234.7753125,40192.61281,1000
1074,111,0,8,14,6,,20812.5,0,1950,0,3500,26262.5,2232.3125,167.4234375,28662.23594,700
1075,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1076,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1077,112,0,15,22,,,21000,0,0,0,3500,24500,2082.5,156.1875,26738.6875,1100
1078,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1079,118.83,0,11,12,8,,22280.625,0,2600,0,3500,28380.625,2412.353125,180.9264844,30973.90461,600
1080,155,0,13,20,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,1000
1081,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1082,155,0,13,20,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,1000
1083,155,0,13,20,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,1000
1084,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1085,121,11,12,14,12,,22687.5,2191.42,3900,0,3500,32278.92,2743.7082,205.778115,35228.40632,700
1086,144,0,12,18,12,,27000,0,3900,0,3500,34400,2924,219.3,37543.3,900
1087,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1088,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1089,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1090,132,11,14,14,14,,24750,2191.42,4550,0,3500,34991.42,2974.2707,223.0703025,38188.761,700
1091,110,0,10,12,10,,20625,0,3250,0,3500,27375,2326.875,174.515625,29876.39063,600
1092,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1093,142.07,16.88,23,26,,,26638.125,3362.8336,0,0,3500,33500.9586,2847.581481,213.5686111,36562.10869,1300
1094,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1095,132,0,12,12,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,600
1096,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1097,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1098,320,0,15,12,6,,60000,0,1950,0,3500,65450,5563.25,417.24375,71430.49375,600
1099,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1100,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1101,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1102,154.82,0,13,14,14,,29028.75,0,4550,0,3500,37078.75,3151.69375,236.3770313,40466.82078,700
1103,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1104,155,11,14,20,14,,29062.5,2191.42,4550,0,3500,39303.92,3340.8332,250.56249,42895.31569,1000
1105,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1106,99,0,9,10,12,,18562.5,0,3900,0,3500,25962.5,2206.8125,165.5109375,28334.82344,500
1107,155,0,13,20,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,1000
1108,143,0,13,16,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,800
1109,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1110,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1111,166,0,13,16,14,,31125,0,4550,0,3500,39175,3329.875,249.740625,42754.61563,800
1112,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1113,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1114,128.02,0,12,14,12,,24003.75,0,3900,0,3500,31403.75,2669.31875,200.1989063,34273.26766,700
1115,44,0,4,5,4,,8250,0,1300,0,3500,13050,1109.25,83.19375,14242.44375,250
1116,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1117,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1118,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1119,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1120,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1121,144,0,12,18,14,,27000,0,4550,0,3500,35050,2979.25,223.44375,38252.69375,900
1122,143,0,13,14,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,700
1123,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1124,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1125,9.37,0,1,8,,,1756.875,0,0,0,3500,5256.875,446.834375,33.51257813,5737.221953,400
1126,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1127,130.83,0,12,14,12,,24530.625,0,3900,0,3500,31930.625,2714.103125,203.5577344,34848.28586,700
1128,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1129,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1130,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1131,144,0,12,14,12,,27000,0,3900,0,3500,34400,2924,219.3,37543.3,700
1132,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1133,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1134,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1135,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1136,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1137,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1138,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1139,132,0,13,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1140,199,0,13,16,14,,37312.5,0,4550,0,3500,45362.5,3855.8125,289.1859375,49507.49844,800
1141,132,0,12,10,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,500
1142,150.3,9,20,23,,,28181.25,1792.98,0,0,3500,33474.23,2845.30955,213.3982163,36532.93777,1150
1143,132,11,13,14,14,,24750,2191.42,4550,0,3500,34991.42,2974.2707,223.0703025,38188.761,700
1144,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1145,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1146,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1147,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1148,121,0,11,12,8,,22687.5,0,2600,0,3500,28787.5,2446.9375,183.5203125,31417.95781,600
1149,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1150,143,0,13,14,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,700
1151,110,0,10,12,10,,20625,0,3250,0,3500,27375,2326.875,174.515625,29876.39063,600
1152,143,0,13,20,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,1000
1153,121,0,11,10,10,,22687.5,0,3250,0,3500,29437.5,2502.1875,187.6640625,32127.35156,500
1154,132,0,12,18,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,900
1155,143,0,14,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1156,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1157,147.5,0,19,13,,,27656.25,0,0,0,3500,31156.25,2648.28125,198.6210938,34003.15234,650
1158,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1159,132,0,14,20,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,1000
1160,110,0,11,12,10,,20625,0,3250,0,3500,27375,2326.875,174.515625,29876.39063,600
1161,132,11,13,14,14,,24750,2191.42,4550,0,3500,34991.42,2974.2707,223.0703025,38188.761,700
1162,320,0,13,10,12,,60000,0,3900,0,3500,67400,5729,429.675,73558.675,500
1163,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1164,132,0,13,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1165,143,0,13,18,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,900
1166,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1167,130.47,0,12,14,12,,24463.125,0,3900,0,3500,31863.125,2708.365625,203.1274219,34774.61805,700
1168,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1169,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1170,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1171,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1172,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1173,143,0,13,18,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,900
1174,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1175,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1176,119.97,0,11,14,10,,22494.375,0,3250,0,3500,29244.375,2485.771875,186.4328906,31916.57977,700
1177,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1178,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1179,141.92,0,13,10,12,,26610,0,3900,0,3500,34010,2890.85,216.81375,37117.66375,500
1180,155,0,14,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1181,110,11,12,12,14,,20625,2191.42,4550,0,3500,30866.42,2623.6457,196.7734275,33686.83913,600
1182,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1183,155,0,13,18,14,,29062.5,0,4550,0,3500,37112.5,3154.5625,236.5921875,40503.65469,900
1184,132,0,12,14,12,,24750,0,3900,0,3500,32150,2732.75,204.95625,35087.70625,700
1185,121,0,11,14,12,,22687.5,0,3900,0,3500,30087.5,2557.4375,191.8078125,32836.74531,700
1186,11,0,1,2,2,,2062.5,0,650,0,3500,6212.5,528.0625,39.6046875,6780.167188,100
1187,133,0,11,16,12,,24937.5,0,3900,0,3500,32337.5,2748.6875,206.1515625,35292.33906,800
1188,121,0,11,12,12,,22687.5,0,3900,0,3500,30087.5,2557.4375,191.8078125,32836.74531,600
1189,144,0,12,18,12,,27000,0,3900,0,3500,34400,2924,219.3,37543.3,900
1190,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1191,99,0,9,12,8,,18562.5,0,2600,0,3500,24662.5,2096.3125,157.2234375,26916.03594,600
1192,143,0,13,12,12,,26812.5,0,3900,0,3500,34212.5,2908.0625,218.1046875,37338.66719,600
1193,132,0,12,12,10,,24750,0,3250,0,3500,31500,2677.5,200.8125,34378.3125,600
1194,153.65,0,13,18,14,,28809.375,0,4550,0,3500,36859.375,3133.046875,234.9785156,40227.40039,900
