S/N,Normal,OT,Present,Meal Deduction,Night Meal,Paid Leave,NORMAL RATE ,OT RATE,Night Meal Rate,Paid Leave Rate,SOC COST,TOTAL EARNINGS AND MEAL,SERVICE CHARGE,VAT 7.5%,TOTAL INVOICE,Meal Deduction_1
801,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
802,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
803,151.87,0,14,10,14,,28475.625,0,4550,0,3500,36525.625,3104.678125,232.8508594,39863.15398,500
804,160,5,15,0,14,,30000,996.1,4550,0,3500,39046.1,3318.9185,248.9188875,42613.93739,0
805,154,0,14,11,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,550
806,143,0,13,8,14,,26812.5,0,4550,0,3500,34862.5,2963.3125,222.2484375,38048.06094,400
807,160,27,17,0,14,,30000,5378.94,4550,0,3500,43428.94,3691.4599,276.8594925,47397.25939,0
808,160,16,16,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
809,160,3.83,15,18,16,,30000,763.0126,5200,0,3500,39463.0126,3354.356071,251.5767053,43068.94538,900
810,160,16,16,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
811,154,0,14,18,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,900
812,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
813,159.28,0,15,18,16,,29865,0,5200,0,3500,38565,3278.025,245.851875,42088.87688,900
814,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
815,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
816,160,5,15,18,16,,30000,996.1,5200,0,3500,39696.1,3374.1685,253.0626375,43323.33114,900
817,160,3.73,15,18,16,,30000,743.0906,5200,0,3500,39443.0906,3352.662701,251.4497026,43047.203,900
818,160,16,16,0,14,,30000,3187.52,4550,0,3500,41237.52,3505.1892,262.88919,45005.59839,0
819,154,0,14,0,12,,28875,0,3900,0,3500,36275,3083.375,231.253125,39589.62813,0
820,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
821,154,0,14,10,14,,28875,0,4550,0,3500,36925,3138.625,235.396875,40299.02188,500
